FID,community_id,NEAR_FID,NEAR_DIST,lon,lat
122,61,0,0,114.18026242427341,22.318167245186196
123,61,0,0,114.18294848489002,22.32289265208072
124,62,0,0,114.1768369871332,22.314712191417193
125,62,0,0,114.17572177081307,22.320359745686492
126,63,0,0,114.18107759103884,22.30925401205079
127,63,0,0,114.17740042809436,22.31299923174163
128,64,0,0,114.18338123991154,22.319356732532135
129,64,0,0,114.18355155565632,22.311475440094334
130,65,0,0,114.18660728151248,22.31521957373499
131,65,0,0,114.186004276561,22.317531630727533
132,66,0,0,114.18798772181586,22.316251749692366
133,66,0,0,114.19150717480858,22.320101622269547
134,67,0,0,114.18702707576021,22.31161244978836
135,67,0,0,114.18567541272215,22.30924683567962
136,68,0,0,114.19111684895498,22.31126358075356
137,68,0,0,114.19164252363943,22.31377565770997
138,69,0,0,114.18528597851558,22.305796239928714
139,69,0,0,114.1895572109504,22.304531621234087
140,70,0,0,114.19022785630004,22.326824798809476
141,70,0,0,114.18657259102501,22.32527714921544
142,71,0,0,114.19433645435562,22.321447325949617
143,71,0,0,114.19404032205065,22.319318038315217
144,72,0,0,114.15928356039471,22.304282072832265
145,72,0,0,114.1671472273407,22.301318720090425
146,73,0,0,114.16714314522974,22.30931498810981
147,73,0,0,114.16140874388584,22.310951848830747
148,74,0,0,114.16603695697788,22.315507129311708
149,74,0,0,114.16498839492384,22.312917049964963
150,75,0,0,114.15491659990607,22.322713095574862
151,75,0,0,114.15502568816271,22.317211929824552
152,76,0,0,114.15244535983504,22.32725457716461
153,76,0,0,114.1519451032583,22.332409122460007
154,77,0,0,114.13719546823526,22.33559647189015
155,77,0,0,114.13440593860386,22.33923456707503
156,78,0,0,114.15362215219882,22.34188644143017
157,78,0,0,114.15293578128728,22.338524378870538
158,79,0,0,114.16122434557951,22.341719470724744
159,79,0,0,114.15873460112937,22.33779761732074
160,80,0,0,114.16903561274803,22.333253144887145
161,80,0,0,114.16687605330708,22.34486679732872
162,81,0,0,114.15176613977408,22.33484460589285
163,81,0,0,114.16266768741714,22.334045460571367
164,82,0,0,114.15831350516167,22.33270552705197
165,82,0,0,114.15855385803216,22.330049752982422
166,83,0,0,114.1581515921299,22.32656450813949
167,83,0,0,114.16325413421342,22.330393983543132
168,84,0,0,114.16643446578051,22.327343176478845
169,84,0,0,114.16713738536762,22.32909422524373
170,85,0,0,114.17468530572332,22.333747917376485
171,85,0,0,114.17247861817712,22.3324990249513
172,86,0,0,114.13758515411277,22.32540137844751
173,86,0,0,114.13156443259477,22.321903096388972
174,87,0,0,114.17652236131703,22.341304899267794
175,87,0,0,114.17910110887365,22.339369128696823
176,88,0,0,114.18117954435347,22.334528356908574
177,88,0,0,114.18077754674918,22.340176893729154
178,89,0,0,114.21344915262263,22.318003355964212
179,89,0,0,114.20779894748193,22.33222355168761
180,90,0,0,114.19336986986924,22.34663790195945
181,90,0,0,114.19203796165264,22.34348293702329
182,91,0,0,114.18601034126613,22.33887959556493
183,91,0,0,114.18909224589567,22.34846826002735
184,92,0,0,114.19057411435995,22.33544585310125
185,92,0,0,114.193552596635,22.332229501578972
186,93,0,0,114.20057622853622,22.335559763466865
187,93,0,0,114.19711086372071,22.335926059933115
188,94,0,0,114.1893899512569,22.331776305818007
189,94,0,0,114.18688314589711,22.32988738361847
190,95,0,0,114.20033239967653,22.325342428053638
191,95,0,0,114.19812694918485,22.320115869275103
192,96,0,0,114.20667477881642,22.33414875907103
193,96,0,0,114.20465692696999,22.336891431139136
194,97,0,0,114.20971649282396,22.34526574652863
195,97,0,0,114.22101087719639,22.33782328552292
196,98,0,0,114.2339555585469,22.303818132536577
197,98,0,0,114.23111179352595,22.304134121454325
198,99,0,0,114.20896503446369,22.333387174234314
199,99,0,0,114.21507990751454,22.320785397644688
200,100,0,0,114.22229138059353,22.329786276824674
201,100,0,0,114.23054403979577,22.32546708808543
202,101,0,0,114.24029403520937,22.323404318594612
203,101,0,0,114.23879703531753,22.318276344106664
204,102,0,0,114.22871513221271,22.311159294060776
205,102,0,0,114.22193683852997,22.32223015604531
206,103,0,0,114.22574979188138,22.30852683676174
207,103,0,0,114.2231360416422,22.31047233389291
208,104,0,0,114.23209703373082,22.31011614519958
209,104,0,0,114.2367215359197,22.3092527888777
210,105,0,0,114.24246294512771,22.296470876042868
211,105,0,0,114.2407669231537,22.28854441753357
212,106,0,0,114.112477489648,22.39526681988402
213,106,0,0,114.14166942230734,22.381306650847417
214,107,0,0,114.13619916238086,22.33110417819812
215,107,0,0,114.11950929144022,22.354558346677454
216,108,0,0,114.11267393948135,22.382179788880695
217,108,0,0,114.11572207722199,22.38008130439878
218,109,0,0,114.09766720900409,22.369249506005595
219,109,0,0,114.10459824898423,22.386188508573916
220,110,0,0,114.12443946475469,22.375078206033972
221,110,0,0,114.13282416763023,22.369954784813384
222,111,0,0,114.12116573841112,22.362544582381457
223,111,0,0,114.12960736295634,22.36566351849274
224,112,0,0,114.14617452895637,22.34079449157891
225,112,0,0,114.13776770941999,22.357242545623816
226,113,0,0,114.13059469304588,22.346480817324945
227,113,0,0,114.13328395183395,22.34931271235725
